session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
bnwhita6,8,pkecf13v,3,survey,Part1,1605552920,1,0,0
pqntdh2k,4,licb3t81,7,display_matches_narrative,Intro,1605552920,1,0,0
pqntdh2k,8,6vec4bxi,1,intro,Welcome,1605552920,1,0,0
pqntdh2k,1,0tq85pbh,7,display_matches_narrative,Intro,1605552922,1,0,0
pqntdh2k,8,6vec4bxi,2,survey,Intro,1605552924,1,0,0
hap6zgo3,2,wgoqf11t,5,survey,Part3,1605552925,1,0,0
pqntdh2k,2,kggjvibp,8,display_matches_narrative,Task,1605552927,1,0,0
hap6zgo3,3,abtzr204,11,filler,Intro,1605552927,1,0,0
hap6zgo3,7,l1reowvo,5,survey,Part3,1605552932,1,0,0
pqntdh2k,2,kggjvibp,9,ios_discrete_pictures,Intro,1605552936,1,0,0
hap6zgo3,4,tceg3h82,6,survey,Part4,1605552940,1,0,0
hap6zgo3,8,2coyn6vs,4,survey,Part2,1605552942,1,0,0
pqntdh2k,2,kggjvibp,10,ios_discrete_pictures,Task,1605552943,1,0,0
pqntdh2k,1,0tq85pbh,8,display_matches_narrative,Task,1605552947,1,0,0
hap6zgo3,4,tceg3h82,7,display_matches_narrative,Intro,1605552949,1,0,0
pqntdh2k,2,kggjvibp,11,filler,Intro,1605552951,1,0,0
bnwhita6,2,ixyuw6pl,3,survey,Part1,1605552953,1,0,0
hap6zgo3,8,2coyn6vs,5,survey,Part3,1605552954,1,0,0
morw9hf0,2,w4ytqlkk,6,survey,Part4,1605552956,1,0,0
pqntdh2k,1,0tq85pbh,9,ios_discrete_pictures,Intro,1605552957,1,0,0
morw9hf0,6,nv937tfn,4,survey,Part2,1605552958,1,0,0
bnwhita6,12,edbc27pr,1,intro,Welcome,1605552959,1,0,0
bnwhita6,12,edbc27pr,2,survey,Intro,1605552960,1,0,0
hap6zgo3,2,wgoqf11t,6,survey,Part4,1605552963,1,0,0
pqntdh2k,1,0tq85pbh,10,ios_discrete_pictures,Task,1605552965,1,0,0
pqntdh2k,9,raccuakz,1,intro,Welcome,1605552965,1,0,0
hap6zgo3,2,wgoqf11t,7,display_matches_narrative,Intro,1605552970,1,0,0
pqntdh2k,1,0tq85pbh,11,filler,Intro,1605552972,1,0,0
pqntdh2k,9,raccuakz,2,survey,Intro,1605552973,1,0,0
bnwhita6,10,vfvk3rlg,3,survey,Part1,1605552974,1,0,0
bnwhita6,3,skexgddt,4,survey,Part2,1605552974,1,0,0
bnwhita6,7,2ch2eu7u,4,survey,Part2,1605552974,1,0,0
pqntdh2k,5,6r6acce7,3,survey,Part1,1605552980,1,0,0
morw9hf0,10,8v7ekppc,1,intro,Welcome,1605552981,1,0,0
pqntdh2k,6,nlo4xyhg,4,survey,Part2,1605552982,1,0,0
hap6zgo3,4,tceg3h82,8,display_matches_narrative,Task,1605552986,1,0,0
hap6zgo3,8,2coyn6vs,6,survey,Part4,1605552988,1,0,0
morw9hf0,4,xkqb0ukb,8,display_matches_narrative,Task,1605552988,1,0,0
morw9hf0,11,xobvj375,1,intro,Welcome,1605552988,1,0,0
